Contract Number,RS- Name,Account Name,Account ID
454490,The Andersons Inc,The Andersons (IN/OH/MI),0014u000025RsaW
454489,Skyland Grain LLC,Skyland Grain LLC,0017000000yW3oV
454488,Willard Agri-Service of Frederick Inc,Willard Agri-Service of Frederick Inc,0017000000yIUds
454487,Helena Agri-Enterprises LLC,Helena (MI/IN/OH),0014u0000249t97
454486,Ceres Solutions Cooperative Inc,Ceres Solutions Cooperative Inc,0017000000yIUg2
454481,Carolina Eastern Inc,Carolina Eastern Inc,0017000000yIW4K
454477,MFA Incorporated,MFA Incorporated,0017000000yIUvC
454476,MO Valley Agri Service of Atchison County Inc dba Farmers Supply,MO Valley Agri Service of Atchison County Inc dba Farmers Supply,0017000000yIUbG
454475,Richardson International Limited,Richardson International Limited,0017000000yIUrR
454474,The Andersons Inc,The Andersons (NE),0014u000025RsaM
454469,COG Marketers Ltd,COG Marketers (KS),0014u000025Rw9r
454468,Eickhoff Fertilizer,Eickhoff Fertilizer,0017000001OO4HT
454467,COG Marketers Ltd,COG Marketers (KS),0014u000025Rw9r
454465,Winfield Solutions LLC,Winfield (MN),0010g00001mLDSI
454463,Wilbur-Ellis Company,Wilbur Ellis (IN/OH/MI),0014u00001nDYPa
454462,Wilbur-Ellis Company,Wilbur Ellis (IN/OH/MI),0014u00001nDYPa
454461,Intermountain Farmers Association,Intermountain Farmers Association,0017000000yIUxF
454459,Nutrien Ag Solutions Inc,Central Iowa - Plains / Cornbelt (Nutrien),0010g00001ljvBh
454458,Helena Agri-Enterprises LLC,Helena (MI/IN/OH),0014u0000249t97
454456,Helena Agri-Enterprises LLC,Helena (E. NE/IA/MN Division),0010g00001nBAhQ
454455,Interoceanic Corporation,Interoceanic Corporation,0017000000yIUx9
454454,Nutrien Ag Solutions Inc,Southeast IN - East (Nutrien),0010g00001ljvBw
454453,Nutrien Ag Solutions Inc,Southeast IN - East (Nutrien),0010g00001ljvBw
454452,COG Marketers Ltd,COG Marketers (IA),0014u000025Rw9k
454451,Winfield Solutions LLC,Winfield (Iowa),0010g00001m5BvP
454450,CHS INC,CHS INC,0017000000yIV1Q
454449,Wilbur-Ellis Company,Wilbur-Ellis (MINOT),0014u00001nCPk7
454448,Diamond K Seeds LLC,Diamond K Seeds LLC,0017000000yIV05
454447,Wilbur-Ellis Company,Wilbur-Ellis (MINOT),0014u00001nCPk7
454446,MFA Incorporated,MFA Incorporated,0017000000yIUvC
454445,MFA Incorporated,MFA Incorporated,0017000000yIUvC
454444,MFA Incorporated,MFA Incorporated,0017000000yIUvC
454442,Land View Inc,Land View Inc,0017000000yIUvY
454441,Novus Ag LLC,Novus Ag LLC,0010g00001derCW
454438,GROWMARK INC,Illinois (Growmark),0010g00001mL1eB
454437,Helena Agri-Enterprises LLC,Helena (IL),0014u000024A2Db
454436,Helena Agri-Enterprises LLC,"Helena (S. Delta, S. Texas Division)",0010g00001m2UBM
454435,"Producers Cooperative Association (Girard, KS)","Producers Cooperative Association (Girard, KS)",0010g00001jjJ3k
454434,Helena Agri-Enterprises LLC,Helena Agri-Enterprises LLC,0017000000yIUxo
454433,"Producers Cooperative Association (Girard, KS)","Producers Cooperative Association (Girard, KS)",0010g00001jjJ3k
454432,Mid Kansas Cooperative Association,Mid Kansas Cooperative Association,0017000000yIUug
454431,Mid Kansas Cooperative Association,Mid Kansas Cooperative Association,0017000000yIUug
454430,Nutrien Ag Solutions Inc,Nutrien (Northern High Plains - Plains / Cornbelt),0010g00001ljvBX
454428,Helena Agri-Enterprises LLC,Helena (IL),0014u000024A2Db
454427,Mid Kansas Cooperative Association,Mid Kansas Cooperative Association,0017000000yIUug
454426,GROWMARK INC,Illinois (Growmark),0010g00001mL1eB
454424,MACROSOURCE LLC,Macrosource (MI/IN/OH),0014u000025RwBb
454423,Nutrien Ag Solutions Inc,Nutrien (Southern High Plains - Plains / Cornbelt),0010g00001ljvBW
454422,Wilbur-Ellis Company,Wilbur Ellis (IN/OH/MI),0014u00001nDYPa
454421,COG Marketers Ltd,COG Marketers (IA),0014u000025Rw9k
454420,21st Century Coop (Cumberland IA),21st Century Coop (Cumberland IA),0017000000yW3lB
454419,21st Century Coop (Cumberland IA),21st Century Coop (Cumberland IA),0017000000yW3lB
454418,Farmers Cooperative Elevator Co (Garden Plain),Farmers Cooperative Elevator Co (Garden Plain),0017000000yW3wp
454417,Nutrien Ag Solutions Inc,Southeast Iowa  - Plains / Cornbelt (Nutrien),0010g00001ljvBf
454416,Winfield Solutions LLC,Winfield (OK/TX),0010g00001mLIzb
454414,GROWMARK INC,Illinois (Growmark),0010g00001mL1eB
454410,Howard Johnsons Enterprises Inc,Howard Johnsons Enterprises Inc,0017000000yW3uk
454409,O K Cooperative Grain & Mercantile Co,O K Cooperative Grain & Mercantile Co,0017000000yIUtP
454408,Agra Holdings LLC,Agra Holdings LLC,0017000001NYl4R
454407,Nutrien Ag Solutions Inc,Southeast IN - East (Nutrien),0010g00001ljvBw
454406,Nutrien Ag Solutions Inc,SD/MN - Plains / Cornbelt (Nutrien),0010g00001ljvBi
454405,Nutrien Ag Solutions Inc,SD/MN - Plains / Cornbelt (Nutrien),0010g00001ljvBi
454404,Wilson Chemical Solutions,Wilson Chemical Solutions,0014u00001zpQt2
454403,Winfield Solutions LLC,Winfield (MN),0010g00001mLDSI
454402,Winfield Solutions LLC,Winfield (MN),0010g00001mLDSI
454401,Garber Cooperative Association,Garber Cooperative Association,0017000000yIUyN
454400,Cone Ag Inc,Cone Ag Inc,0017000000yIV0g
454382,Parrish & Heimbecker Ltd,Parrish & Heimbecker Ltd,0017000000yIUsj
454380,Winfield Solutions LLC,Winfield (NE),0014u00001nDC8d
454379,Winfield Solutions LLC,Winfield (IL),0010g00001mLGpR
454378,Intermountain Farmers Association,Intermountain Farmers Association,0017000000yIUxF
454377,Winfield Solutions LLC,Winfield (IN/OH/MI),0010g00001m59W1
454376,Herbers Seed & Consulting Inc,Herbers Seed & Consulting Inc,0017000000yIUxj
454375,LANDUS COOPERATIVE,LANDUS COOPERATIVE,0017000000yIUz4
454374,NEW Cooperative Inc,NEW Cooperative Inc,0017000000yIUtv
454373,Backes & Toelke Agri Products,Backes & Toelke Agri Products,0010g00001m4g84
454372,NEW Cooperative Inc,NEW Cooperative Inc,0017000000yIUtv
454371,Winfield Solutions LLC,Winfield (NE),0014u00001nDC8d
454369,Agra Holdings LLC,Agra Holdings LLC,0017000001NYl4R
454368,MFA Incorporated,MFA Incorporated,0017000000yIUvC
454367,Clover Leaf Farm Supply LLC,Clover Leaf Farm Supply LLC,0017000000yIUXv
454366,Nutrien Ag Solutions Inc,Nebraska - Plains / Cornbelt (Nutrien),0010g00001ljvBe
454365,Nutrien Ag Solutions Inc,Nebraska - Plains / Cornbelt (Nutrien),0010g00001ljvBe
454364,Clover Leaf Farm Supply LLC,Clover Leaf Farm Supply LLC,0017000000yIUXv
454363,Helena Agri-Enterprises LLC,"Helena (S. Delta, S. Texas Division)",0010g00001m2UBM
454361,GROWMARK INC,Iowa (Growmark),0010g00001mKoL2
454360,GROWMARK INC,Iowa (Growmark),0010g00001mKoL2
454359,Winfield Solutions LLC,Winfield (KS/CO),0010g00001mLCW3
454358,GROWMARK INC,Iowa (Growmark),0010g00001mKoL2
454357,GROWMARK INC,East Coast (Growmark),0010g00001mL1ih
454354,GROWMARK INC,Iowa (Growmark),0010g00001mKoL2
454353,Winfield Solutions LLC,Winfield (KS/CO),0010g00001mLCW3
454352,Winfield Solutions LLC,Winfield (KS/CO),0010g00001mLCW3
454351,Winfield Solutions LLC,Winfield (KS/CO),0010g00001mLCW3
454350,Winfield Solutions LLC,Winfield (KS/CO),0010g00001mLCW3
454349,Winfield Solutions LLC,Winfield (KS/CO),0010g00001mLCW3
454348,Winfield Solutions LLC,Winfield (KS/CO),0010g00001mLCW3
454347,Winfield Solutions LLC,Winfield (NE),0014u00001nDC8d
454346,Winfield Solutions LLC,Winfield (KS/CO),0010g00001mLCW3
454345,GROWMARK INC,Illinois (Growmark),0010g00001mL1eB
454344,Winfield Solutions LLC,Winfield (NE),0014u00001nDC8d
454343,Winfield Solutions LLC,Winfield (KS/CO),0010g00001mLCW3
454341,Winfield Solutions LLC,Winfield (KS/CO),0010g00001mLCW3
454340,Loveland Products Inc,Loveland Products Inc,0017000000yIV6u
454339,International Chemical Company,Interchem Nebraska,0014u000025RvP5
454338,Winfield Solutions LLC,Winfield (KS/CO),0010g00001mLCW3
454337,GROWMARK INC,Illinois (Growmark),0010g00001mL1eB
454336,Winfield Solutions LLC,Winfield (OK/TX),0010g00001mLIzb
454334,Winfield Solutions LLC,Winfield (KS/CO),0010g00001mLCW3
454333,H2 Ag Supply LLC,H2 Ag Supply LLC,0014u00001nEdrM
454331,GROWMARK INC,Illinois (Growmark),0010g00001mL1eB
454329,Akron Services Inc,Akron Services Inc,0017000000yIT0o
454327,GROWMARK INC,Illinois (Growmark),0010g00001mL1eB
454326,Trotter Inc,Trotter Inc,0017000000yIUpX
454324,Nutrien Ag Solutions Inc,Nutrien (Southern High Plains - Plains / Cornbelt),0010g00001ljvBW
454323,Nutrien Ag Solutions Inc,Nutrien (Southern High Plains - Plains / Cornbelt),0010g00001ljvBW
454322,The Andersons Inc,The Andersons (IN/OH/MI),0014u000025RsaW
454319,Bruning Grain & Feed Co Inc,Bruning Grain & Feed Co Inc,0017000000yW3jBAAS
454315,Novus Ag LLC,Novus Ag LLC,0010g00001derCW
454314,Prairie States Warehouse Inc,Prairie States Warehouse Inc,0017000000yIUsB
454313,Fairfield Non Stock Coop Fertilizer Association,Fairfield Non Stock Coop Fertilizer Association,0010g00001ewdOP
454311,Winfield Solutions LLC,Winfield (OK/TX),0010g00001mLIzb
454310,Winfield Solutions LLC,Winfield (OK/TX),0010g00001mLIzb
454308,Winfield Solutions LLC,Winfield (NE),0014u00001nDC8d
454307,Winfield Solutions LLC,Winfield (NE),0014u00001nDC8d
454306,Agricultural Services Inc,Agricultural Services Inc,0017000000yIV34
454305,Shawnee Milling Co,Shawnee Milling Co,0017000000yW3om
454304,Shawnee Milling Co,Shawnee Milling Co,0017000000yW3om
454302,Stratton Equity Cooperative Company,Stratton Equity Cooperative Company,0017000000yIUqU
454301,Parrish & Heimbecker Ltd,Parrish & Heimbecker Ltd,0017000000yIUsj
454300,GROWMARK INC,Iowa (Growmark),0010g00001mKoL2
454298,Wells Ag Supply LLC,Wells Ag Supply LLC,0017000000yIUoh
454297,Wilbur-Ellis Company,Wilbur Ellis (IN/OH/MI),0014u00001nDYPa
454296,Wilbur-Ellis Company,Wilbur Ellis (IN/OH/MI),0014u00001nDYPa
454295,GROWMARK INC,Iowa (Growmark),0010g00001mKoL2
454294,GROWMARK INC,East Coast (Growmark),0010g00001mL1ih
454293,GROWMARK INC,Iowa (Growmark),0010g00001mKoL2
454287,Winfield Solutions LLC,Winfield (Iowa),0010g00001m5BvP
454286,Winfield Solutions LLC,Winfield (Iowa),0010g00001m5BvP
454275,Land View Inc,Land View Inc,0017000000yIUvY
454274,Winfield Solutions LLC,Winfield Solutions LLC,0017000000yIUl7
454273,Winfield Solutions LLC,Winfield Solutions LLC,0017000000yIUl7
454272,Winfield Solutions LLC,Winfield (KS/CO),0010g00001mLCW3
454271,Winfield Solutions LLC,Winfield (KS/CO),0010g00001mLCW3
454270,Winfield Solutions LLC,Winfield (KS/CO),0010g00001mLCW3
454269,Winfield Solutions LLC,Winfield (KS/CO),0010g00001mLCW3
454268,Winfield Solutions LLC,Winfield (KS/CO),0010g00001mLCW3
454267,Winfield Solutions LLC,Winfield (KS/CO),0010g00001mLCW3
454266,Winfield Solutions LLC,Winfield (KS/CO),0010g00001mLCW3
454264,Winfield Solutions LLC,Winfield (KS/CO),0010g00001mLCW3
454263,Winfield Solutions LLC,Winfield (KS/CO),0010g00001mLCW3
454262,Kugler Oil Company,Kugler Oil Company,0017000000yIUve
454261,AGRIServices of Brunswick LLC,AGRIServices of Brunswick LLC,0017000000yIV3T
454259,Simplot AB Retail Inc dba Simplot Grower Solutions,J R Simplot (Great Plains KS/CO),0014u00001no9V7
454256,GROWMARK INC,Illinois (Growmark),0010g00001mL1eB
454255,GROWMARK INC,Illinois (Growmark),0010g00001mL1eB
454254,Winfield Solutions LLC,Winfield (KS/CO),0010g00001mLCW3
454252,Nutrien Ag Solutions Inc,Southern Illinois - Plains / Cornbelt (Nutrien),0010g00001ljvBb
454251,Winfield Solutions LLC,Winfield (KS/CO),0010g00001mLCW3
454250,Ray-Carroll County Grain Growers Inc,Ray-Carroll County Grain Growers Inc,0017000000yW3aj
454249,Nutrien Ag Solutions Inc,Southern Illinois - Plains / Cornbelt (Nutrien),0010g00001ljvBb
454248,Northern Ag Suppliers,Northern Ag Suppliers,0017000001QzhVz
454247,MACROSOURCE LLC,Macrosource Northern Plains (Dakotas),0014u000025RsfW
454246,"Co-Alliance Cooperative, Inc","Co-Alliance Cooperative, Inc",0014u00001oySh9
454244,Parallel Farms Inc,Parallel Farms Inc,0017000000yIUjE
454241,B&B Ag Services LLC,B&B Ag Services LLC,0014u00001vUggk
454240,Nutrien Ag Solutions Inc,W Iowa / NE Nebraska - Plains / Cornbelt (Nutrien),0010g00001ljvBk
454239,Nutrien Ag Solutions Inc,W Iowa / NE Nebraska - Plains / Cornbelt (Nutrien),0010g00001ljvBk
454238,GROWMARK INC,Indiana (Growmark),0014u00001nDYLn
454237,Helena Agri-Enterprises LLC,Helena (MI/IN/OH),0014u0000249t97
454235,Moreland Farms,Moreland Farms,0014u00001zlw3z
454234,Winfield Solutions LLC,Winfield (NE),0014u00001nDC8d
454233,Nutrien Ag Solutions Inc,Central Iowa - Plains / Cornbelt (Nutrien),0010g00001ljvBh
454232,Farmers Ag Products,Farmers Ag Products,0017000000yIW3h
454231,Nutrien Ag Solutions Inc,Central Iowa - Plains / Cornbelt (Nutrien),0010g00001ljvBh
454227,Brenntag Southwest Inc,Brenntag Southwest Inc,0017000000yIV1j
454223,Helena Agri-Enterprises LLC,Helena (MI/IN/OH),0014u0000249t97
454222,Roberts Ag Service Inc,Roberts Ag Service Inc,0014u00001wutNv
454221,Ag Coop Services Inc,Ag Coop Services Inc,0017000000yIV3J
454220,Westway Feed Products LLC,Westway Feed Products LLC,0017000000yIT4v
454218,Valley Ag Supply Inc,Valley Ag Supply Inc,0017000000yIUWu
454217,Helena Agri-Enterprises LLC,"Helena (S. Delta, S. Texas Division)",0010g00001m2UBM
454216,Land View Inc,Land View Inc,0017000000yIUvY
454214,Madison's Great Western,Madison's Great Western,0010g00001bqeQ3
454213,Norms Ag Service LLC,Norms Ag Service LLC,0017000000yIVBH
454212,GROWMARK INC,Iowa (Growmark),0010g00001mKoL2
454208,CHS INC,CHS INC,0017000000yIV1Q
454207,Akron Services Inc,Akron Services Inc,0017000000yIT0o
454205,GROWMARK INC,Iowa (Growmark),0010g00001mKoL2
454204,Valley Ag Supply Inc,Valley Ag Supply Inc,0017000000yIUWu
454203,GROWMARK INC,Iowa (Growmark),0010g00001mKoL2
454202,GROWMARK INC,Iowa (Growmark),0010g00001mKoL2
454200,Creston Fertilizer Co Inc,Creston Fertilizer Co Inc,0017000000yIV0V
454198,International Chemical Company,Interchem Southern Plains,0014u000025RvP0
454197,Bryan Agri Products,Bryan Agri Products,0010g00001aNnz5
454193,Allerton Supply Company,Allerton Supply Company,0017000000yIV2f
454192,Allerton Supply Company,Allerton Supply Company,0017000000yIV2f
454191,Mont Eagle Mills Inc,Mont Eagle Mills Inc,0017000000yIUuR
454190,GROWMARK INC,Indiana (Growmark),0014u00001nDYLn
454189,GROWMARK INC,Indiana (Growmark),0014u00001nDYLn
454188,Ceres Solutions Cooperative Inc,Ceres Solutions Cooperative Inc,0017000000yIUg2
454187,Ceres Solutions Cooperative Inc,Ceres Solutions Cooperative Inc,0017000000yIUg2
454186,Ceres Solutions Cooperative Inc,Ceres Solutions Cooperative Inc,0017000000yIUg2
454182,GROWMARK INC,Illinois (Growmark),0010g00001mL1eB
454181,Effingham Equity,Effingham Equity,0017000000yIUzn
454179,Effingham Equity,Effingham Equity,0017000000yIUzn
454174,Mid-West Fertilizer LLC,Mid Kansas Cooperative Association,0017000000yIUug
454170,Winfield United Canada ULC,Winfield United Canada ULC,0010g00001ZJQOT
454159,Northern Ag Suppliers,Northern Ag Suppliers,0017000001QzhVz
454158,MO Valley Agri Service of Atchison County Inc dba Farmers Supply,MO Valley Agri Service of Atchison County Inc dba Farmers Supply,0017000000yIUbG
454156,Kanza Cooperative Association,Kanza Cooperative Association,0017000000yW3tc
454155,Skyland Grain LLC,Skyland Grain LLC,0017000000yW3oV
454154,CHS INC,CHS Inc (MI/OH/IN),0010g00001m5dZC
454153,Skyland Grain LLC,Skyland Grain LLC,0017000000yW3oV
454152,CHS INC,CHS Inc (MI/OH/IN),0010g00001m5dZC
454151,CHS INC,CHS Inc (MI/OH/IN),0010g00001m5dZC
454150,Northern Ag Suppliers,Northern Ag Suppliers,0017000001QzhVz
454149,CHS INC,CHS Inc (KS/CO),0014u00001noQmK
454148,Art's Milling Service Inc,Art's Milling Service Inc,0017000000yIPRQ
454142,Kova Ag Products Inc dba Crop Fertility Specialists,Kova Ag Products Inc dba Crop Fertility Specialists,0017000000yIUvh
454141,Kova Ag Products Inc dba Crop Fertility Specialists,Kova Ag Products Inc dba Crop Fertility Specialists,0017000000yIUvh
454140,Ray-Carroll County Grain Growers Inc,Ray-Carroll County Grain Growers Inc,0017000000yW3aj
454138,The Andersons Inc,The Andersons (IN/OH/MI),0014u000025RsaW
454137,Juhl Feed Inc,Juhl Feed Inc,0017000000yIT6c
454136,O K Cooperative Grain & Mercantile Co,O K Cooperative Grain & Mercantile Co,0017000000yIUtP
454134,Cambys Pass Inc,Cambys Pass Inc,0017000000yIUWa
454133,Consumers Oil Company,Consumers Oil Company,0010g00001b8RC4
454132,Hi-Line Cooperative Inc,Hi-Line Cooperative Inc,0017000000yIUxh
454131,Consumers Oil Company,Consumers Oil Company,0010g00001b8RC4
454130,Abilene Ag Service and Supply Inc,Abilene Ag Service and Supply Inc,0017000000yW3Wp
454129,Meherrin Fertilizer Inc,Meherrin Fertilizer Inc,0017000000yIUux
454127,Cunningham Farms Inc,Cunningham Farms Inc,0017000000yIV0Q
454125,Consumers Oil & Supply Co,Consumers Oil & Supply Co,0010g00001bqB18
454124,C & M Supply,C & M Supply,00170000019rXVY
454123,Winfield Solutions LLC,Winfield Solutions LLC,0017000000yIUl7
454122,CHS INC,CHS Inc (MI/OH/IN),0010g00001m5dZC
454121,Consumers Oil & Supply Co,Consumers Oil & Supply Co,0010g00001bqB18
454120,MO Valley Agri Service of Atchison County Inc,MO Valley Agri Service of Atchison County Inc,0017000000yIUuX
454118,CenDak Cooperative,CenDak Cooperative,0010g00001b8YFc
454117,MO Valley Agri Service of Atchison County Inc,MO Valley Agri Service of Atchison County Inc,0017000000yIUuX
454111,Starke County Farm Bureau Coop Association Inc,Starke County Farm Bureau Coop Association Inc,0017000000yIUqa
454108,River Country Cooperative,River Country Cooperative,0017000001Uy2EK
454107,Ag Partners Coop,Ag Partners Coop,0017000000yIV3H
454106,Dakota Agronomy Partners LLC,Dakota Agronomy Partners LLC,0017000000yW3yc
454104,Agbest LLC,Agbest LLC,0017000000yIW4u
454103,Ag Partners Coop,Ag Partners Coop,0017000000yIV3H
454102,Winfield Solutions LLC,Winfield (Iowa),0010g00001m5BvP
454101,Winfield Solutions LLC,Winfield (Iowa),0010g00001m5BvP
454100,Winfield Solutions LLC,Winfield (Iowa),0010g00001m5BvP
454099,Stateline Cooperative,Stateline Cooperative,0017000000yIUqY
454092,ADM Fertilizer Division of Archer Daniels Midland,ADM Southern Plains,0014u000025RvuQ
454091,The Farmers Elevator Grain and Supply Association,The Farmers Elevator Grain and Supply Association,0017000001Uvo54
454090,Helena Agri-Enterprises LLC,Helena (W. NE/KS/CO Division),0010g00001m2V10
454089,Falor Farm Center Inc,Falor Farm Center Inc,0017000000yIUdN
454088,Bowers Aerial LLC,Bowers Aerial LLC,0014u00001txdls
454078,Brandt Dealer Support LLC,Brandt Dealer Support LLC,0010g00001lEXpT
454072,Itasca Co-operative Grain Inc,Itasca Co-operative Grain Inc,0017000000yIV9n
454070,Midway Co-Op Association,Midway Co-Op Association,0017000000yIQna
454066,Carolina Eastern Inc,Carolina Eastern Inc,0017000000yIW4K
454065,Creston Fertilizer Co Inc,Creston Fertilizer Co Inc,0017000000yIV0V
454058,The Dune Company of Yuma LLC,The Dune Company of Yuma LLC,0017000000yIUbv
454056,Central Ag Commodities LLC,Central Ag Commodities LLC,0017000000yIV1A
454055,Central Ag Commodities LLC,Central Ag Commodities LLC,0017000000yIV1A
454046,LANDUS COOPERATIVE,LANDUS COOPERATIVE,0017000000yIUz4
454033,Helena Agri-Enterprises LLC,CA (Helena),0014u00001noudB
454028,Basin Fertilizer & Chemical Co,Basin Fertilizer & Chemical Co,0017000000yIT0w
454025,Basin Fertilizer & Chemical Co,Basin Fertilizer & Chemical Co,0017000000yIT0w
454024,Pawnee County Cooperative Association,Pawnee County Cooperative Association,0017000000yW3qh
454019,Mulvane Cooperative Union Inc  (The),Mulvane Cooperative Union Inc  (The),0017000000yIUuF
454014,21st Century Coop (Cumberland IA),21st Century Coop (Cumberland IA),0017000000yW3lB
454013,Winfield Solutions LLC,Winfield (KS/CO),0010g00001mLCW3
454012,Helena Agri-Enterprises LLC,Helena (W. NE/KS/CO Division),0010g00001m2V10
454011,Nutrien Ag Solutions Inc,Coastal Plains  - South (Nutrien),0010g00001ljvBu
454009,Farmers Win Cooperative,Farmers Win Cooperative,0017000000yIT1b
454008,International Chemical Company,Interchem Southern Plains,0014u000025RvP0
454007,SureGrow Agricultural Products Inc,SureGrow Agricultural Products Inc,0017000000yIUqK
454006,Farmers Cooperative Elevator Co (Garden Plain),Farmers Cooperative Elevator Co (Garden Plain),0017000000yW3wp
454005,MANUCHAR INC,MANUCHAR INC,0014u0000231UqZ
453999,Farmers Union Oil (Jordan MT),Farmers Union Oil (Jordan MT),0017000001RA01m
453998,River Country Co-op,River Country Co-op,0017000000yIR9W
453987,Falcon Fertilizer Inc,Falcon Fertilizer Inc,0017000000yIUzN
453986,Novus Ag LLC,Novus Ag LLC,0010g00001derCW
453985,Service and Supply Cooperative,Service and Supply Cooperative,0017000000yIUqx
453984,Nutrien Ag Solutions Inc,Coastal Plains  - South (Nutrien),0010g00001ljvBu
453983,Juhl Feed Inc,Juhl Feed Inc,0017000000yIT6c
453981,Dakota Agronomy Partners LLC,Dakota Agronomy Partners LLC,0017000000yW3yc
453980,Rio Creek Feed Mill Inc,Rio Creek Feed Mill Inc,0017000000yIR9P
453979,Falcon Fertilizer Inc,Falcon Fertilizer Inc,0017000000yIUzN
453977,Plains States Commodities LLC,Plains States Commodities LLC,0014u00001nomuy
453974,Carrier Mill And Elevator Company,Carrier Mill And Elevator Company,0014u00001tz714
453973,Bourdeau Bros Inc,Bourdeau Bros Inc,0017000000yIUk7
453969,Winfield Solutions LLC,Winfield (NE),0014u00001nDC8d
453967,Everris NA Inc,Everris NA Inc,0017000000yIUYZ
453966,Cassidy Grain Co,Cassidy Grain Co,0017000000yIV1E
453964,Nutrien Ag Solutions Inc,Southeast IN - East (Nutrien),0010g00001ljvBw
453961,Novus Ag LLC,Novus Ag LLC,0010g00001derCW
453960,Roberts Ag Service Inc,Roberts Ag Service Inc,0014u00001wutNv
453959,Gary & Greg Schuermann dba S & S Fertilizer,Gary & Greg Schuermann dba S & S Fertilizer,0017000001Uy6BB
453958,Smoky Mountain Farmers Cooperative,Smoky Mountain Farmers Cooperative,0014u00001zpTsS
453957,Winfield Solutions LLC,Winfield (KS/CO),0010g00001mLCW3
453955,MO Valley Agri Service of Atchison County Inc,MO Valley Agri Service of Atchison County Inc,0017000000yIUuX
453954,Land Run Farmers Cooperative,Land Run Farmers Cooperative,0017000000yW3mf
453953,Stratton Equity Cooperative Company,Stratton Equity Cooperative Company,0017000000yIUqU
453952,Elevation Agronomy LLC,Elevation Agronomy LLC,0010g00001iV7lS
453951,Integrated Microbial Delivery Inc,Integrated Microbial Delivery Inc,0017000000yIVwM
453949,Westway Feed Products LLC,Westway Feed Products LLC,0017000000yIT4v
453947,MO Valley Agri Service of Atchison County Inc,MO Valley Agri Service of Atchison County Inc,0017000000yIUuX
453945,Winfield Solutions LLC,Winfield (NE),0014u00001nDC8d
453926,Meherrin Fertilizer Inc,Meherrin Fertilizer Inc,0017000000yIUux
453925,Carrier Mill And Elevator Company,Carrier Mill And Elevator Company,0014u00001tz714
453924,Winfield Solutions LLC,Winfield (OK/TX),0010g00001mLIzb
453923,Valley Co-op Inc            (Winfield  KS),Valley Co-op Inc            (Winfield  KS),0017000000yIUot
453922,Caledonia Farmers Elevator,Caledonia Farmers Elevator,0017000000yIUia
453920,Carolina Eastern Inc,Carolina Eastern Inc,0017000000yIW4K
453919,Ray-Carroll County Grain Growers Inc,Ray-Carroll County Grain Growers Inc,0017000000yW3aj
453918,Creston Fertilizer Co Inc,Creston Fertilizer Co Inc,0017000000yIV0V
453917,GROWMARK INC,East Coast (Growmark),0010g00001mL1ih
453916,Winfield Solutions LLC,Winfield Solutions LLC,0017000000yIUl7
453914,International Chemical Company,Interchem Southern Plains,0014u000025RvP0
453912,CHS INC,CHS INC,0017000000yIV1Q
453909,Union Carbide Corporation,Union Carbide Corporation,0017000000yW3Y2
453907,Simplot AB Retail Inc dba Simplot Grower Solutions,J R Simplot (Great Plains KS/CO),0014u00001no9V7
453906,Simplot AB Retail Inc dba Simplot Grower Solutions,J R Simplot (Great Plains KS/CO),0014u00001no9V7
453905,MFA Incorporated,MFA Incorporated,0017000000yIUvC
453904,Mid Kansas Cooperative Association,Mid Kansas Cooperative Association,0017000000yIUug
453903,Service and Supply Cooperative,Service and Supply Cooperative,0017000000yIUqx
453902,Helena Agri-Enterprises LLC,"Helena (S. Delta, S. Texas Division)",0010g00001m2UBM
453898,Roberts Ag Service Inc,Roberts Ag Service Inc,0014u00001wutNv
453897,Service and Supply Cooperative,Service and Supply Cooperative,0017000000yIUqx
453896,MO Valley Agri Service of Atchison County Inc,MO Valley Agri Service of Atchison County Inc,0017000000yIUuX
453887,Winfield Solutions LLC,Winfield Solutions LLC,0017000000yIUl7
453886,Winfield Solutions LLC,Winfield (IN/OH/MI),0010g00001m59W1
453884,Co-op Services Inc              (Lawton  OK),Co-op Services Inc              (Lawton  OK),0017000000yIV0l
453882,Professional Ag Services Inc,Professional Ag Services Inc,0014u00001vV2pL
453881,Interoceanic Corporation,Interoceanic (East Coast),0014u000025Ryaq
453880,Climax Molybdenum Company,Climax Molybdenum Company,0017000000yW3iZ
453876,Kanza Cooperative Association,Kanza Cooperative Association,0017000000yW3tc
453875,Ceres Solutions Cooperative Inc,Ceres Solutions Cooperative Inc,0017000000yIUg2
453874,Dakota Agronomy Partners LLC,Dakota Agronomy Partners LLC,0017000000yW3yc
453873,Garber Cooperative Association,Garber Cooperative Association,0017000000yIUyN
453864,Georgia-Pacific Consumer Products LP (Muskogee OK),Georgia-Pacific Consumer Products LP (Muskogee OK),00170000013l0ve
453860,Meherrin Fertilizer Inc,Meherrin Fertilizer Inc,0017000000yIUux
453851,MO Valley Agri Service of Atchison County Inc,MO Valley Agri Service of Atchison County Inc,0017000000yIUuX
453848,International Chemical Company,Interchem Southern Plains,0014u000025RvP0
453846,Zum Mallen Rock and Grain Inc,Zum Mallen Rock and Grain Inc,0017000000yIUoA
453845,Loveland Products Inc,Loveland Products Inc,0017000000yIV6u
453843,Minn-Kota Ag Products Inc,Minn-Kota Ag Products Inc,0017000000yIUWz
453842,Helena Agri-Enterprises LLC,Helena (IL),0014u000024A2Db
