address,country,latitude,longitude,locationName,locationOwner,locationOwnerId,inboundMode,outboundMode,servicingCarriers,splc,zipCode,cityState
37252 US HWY 34,US,40.235388,-100.862495,FRENCHMAN VALLEY-CULBERTSON,FRENCHMAN VALLEY FARMERS COOPERATIVE INC,0017000000yIUyd,RAIL|TRUCK,RAIL|TRUCK,BNSF,559824000,69024,"CULBERTSON, NE"
236 S CHERRY ST,US,40.875191,-88.262474,SUN AG-CULLOM,SUN AG INC,0017000000yIUqP,TRUCK,TRUCK,"","",60929,"CULLOM, IL"
15172 BRANDY RD,US,38.482422,-77.971567,CFC FARM-CULPEPER,CFC FARM HOME CENTER CULPEPER,,RAIL|TRUCK,RAIL|TRUCK,NS,252250000,22701,"CULPEPER, VA"
505 C ST,US,44.52489,-121.215513,HELENA AGRIENTERPRISES-CULVER,HELENA AGRIENTERPRISES LLC,0017000000yIUxo,RAIL,RAIL,BNSF|UP,852885000,97734,"CULVER, OR"
130 MAIN ST,US,41.2725,-94.8702,21ST CENTURY-CUMBERLAND,21ST CENTURY COOP CUMBERLAND IA,0017000000yW3lB,TRUCK,TRUCK,"","",50843,"CUMBERLAND, IA"
308 S VALLEY ST,US,37.6475,-98.4137,SKYLAND GRAIN-CUNNINGHAM,SKYLAND GRAIN LLC,0017000000yW3oV,RAIL|TRUCK,RAIL|TRUCK,BNSF|KO|UP,589438000,67035,"CUNNINGHAM, KS"
9266 CUSTAR RD,US,41.289256,-83.841638,LEGACY FARMERS-CUSTAR,LEGACY FARMERS COOPERATIVE,0017000000yIVvH,RAIL|TRUCK,RAIL|TRUCK,CSXT,343693000,43511,"CUSTAR, OH"
518 W BROADWAY AVE,US,35.6726,-98.8901,CUSTER CITY-CUSTER CITY,CUSTER CITY FARMERS COOP,,RAIL|TRUCK,RAIL|TRUCK,BNSF|GNBC,635427000,73639,"CUSTER CITY, OK"
2405 VALIER HWY,US,48.573708,-112.36915,UP FRONT-CUT BANK,UP FRONT SOLUTIONS,,TRUCK,TRUCK,,,59427,"CUT BANK, MT"
12965 DEFIANCE PIKE,US,41.281127,-83.647844,MIDWOOD INC-CYGNET,MIDWOOD INC,,RAIL,RAIL,CSXT,343681000,43413,"CYGNET, OH"
3875 525TH AVE,US,43.09752,-94.551225,STATELINE COOPERATIVE-CYLINDER,STATELINE COOPERATIVE,0017000000yIUqY,TRUCK,TRUCK,"","",50528,"CYLINDER, IA"
3216 510TH AVE,US,43.1808,-94.5795,AGSTATE -CYLINDER,AGSTATE,0014u00001yQCNb,TRUCK,TRUCK,"","",50528,"CYLINDER, IA"
"",US,38.39106,-84.2948,CYNTHIANA KY- RR STATION,"","",RAIL,RAIL,CSXT,282874000,41031,"CYNTHIANA, KY"
327 MAIN ST,US,36.6595,-98.5676,DACOMA FARMERS-DACOMA,DACOMA FARMERS COOPERATIVE INC,0017000000yIV0K,TRUCK,TRUCK,,,73731,"DACOMA, OK"
,US,42.5246,-96.4971,PENDER GRAIN-DAKOTA DUNES,PENDER GRAIN INC,0017000000yW3qd,TRUCK,TRUCK,"","",57049,"DAKOTA DUNES, SD"
,US,37.9947,-88.5403,GROWMARK INC-DALE,GROWMARK INC,0017000000yIUyR,TRUCK,TRUCK,"","",62829,"DALE, IL"
3325 HWY 54 E,US,36.05979,-102.53104,WILBURELLIS COMPANY-DALHART,WILBURELLIS COMPANY,0017000000yIUoL,RAIL|TRUCK,RAIL|TRUCK,UP,672287000,79022,"DALHART, TX"
919 LIBERAL ST,US,36.07159,-102.511765,AG PRODUCERS-DALHART,AG PRODUCERS COOP,00170000015TH8k,RAIL|TRUCK,RAIL|TRUCK,BNSF|UP,672287000,79022,"DALHART, TX"
2888 FARM TO MARKET RD 1727,US,36.0793546,-102.5538489,CARGILL SWEET-DALHART,CARGILL SWEET BRAN,,TRUCK,TRUCK,,,79022,"DALHART, TX"
2888 FM 1727,US,36.079736,-102.539802,CARGILL INCORPORATED-DALHART,CARGILL INCORPORATED,0017000000yIV1J,RAIL|TRUCK,RAIL|TRUCK,BNSF,672287000,79022,"DALHART, TX"
12498 MACKEY RD,US,36.107579,-102.585344,POOLE CHEMICAL-DALHART,POOLE CHEMICAL COMPANY INC,,RAIL|TRUCK,RAIL|TRUCK,BNSF,672287000,79022,"DALHART, TX"
1107 SYCAMORE ST,US,41.682896,-93.958603,HEARTLAND COOP-DALLAS CENTER,HEARTLAND COOP,0017000000yIUxp,TRUCK,TRUCK,"","",50063,"DALLAS CENTER, IA"
31223 230TH ST,US,41.703499,-93.868391,TRI CITY-DALLAS CENTER,TRI CITY AG SUPPLY,,TRUCK,TRUCK,,,50063,"DALLAS CENTER, IA"
1743 E COUNTY RD 2200,US,40.5203,-91.1673,CHEM GRO-DALLAS CITY,CHEM GRO OF HOUGHTON INC,0017000000yIV12,TRUCK,TRUCK,"","",62330,"DALLAS CITY, IL"
123 N MAIN ST,US,43.2211,-99.5397,CHS INC-DALLAS,CHS INC,0017000000yIV1Q,TRUCK,TRUCK,"","",57529,"DALLAS, SD"
3807 PIPESTONE RD,US,32.7692977,-96.88524219,HIGHLINE WARREN-DALLAS,HIGHLINE WARREN LLC,0014u00001wrGSS,RAIL|TRUCK,RAIL|TRUCK,BNSF|DGNO|KCS|UP,667300000,75212,"DALLAS, TX"
105 GILMORE ST,US,42.1074,-94.2392,JUHL FEED-DANA,JUHL FEED INC,0017000000yIT6c,RAIL|TRUCK,RAIL|TRUCK,UP,545417000,50064,"DANA, IA"
105 E ST,US,42.2332,-95.72,NUTRIEN AG-DANBURY,NUTRIEN AG SOLUTIONS INC,0017000000yIV0T,TRUCK,TRUCK,"","",51019,"DANBURY, IA"
205 1ST AVE SW,US,42.2334,-95.7221,LE MARS-DANBURY,LE MARS AGRICENTER INC,0017000000yIUXB,TRUCK,TRUCK,"","",51019,"DANBURY, IA"
301 HIGH ST,US,43.2489,-89.4964,LANDMARK SERVICES-DANE,LANDMARK SERVICES COOPERATIVE DBA ALCIVIA,0017000000yIUvX,TRUCK,TRUCK,"","",53529,"DANE, WI"
9431 FOSTER WHEELER RD,US,42.5730023,-77.7234484,"DANSVILLE NY DANSVILLE, NY",DANSVILLE NY 02809,,RAIL|TRUCK,RAIL|TRUCK,RSR,184582000,14437,"DANSVILLE, NY"
708 US 212,US,44.792425,-95.098768,FARMWARD COOPERATIVE-DANUBE,FARMWARD COOPERATIVE DANUBLE AGRONOMY CENTER,,TRUCK,TRUCK,,,56230,"DANUBE, MN"
4528 E 1625 N RD,US,40.522245,-89.179896,GROWMARK INC-DANVERS,GROWMARK INC,0017000000yIUyR,TRUCK,TRUCK,"","",61732,"DANVERS, IL"
200 S W ST,US,40.526917,-89.179253,UNITED PRAIRIE-DANVERS,UNITED PRAIRIE LLC,0017000000yIUp4,TRUCK,TRUCK,"","",61732,"DANVERS, IL"
12959 E 2750 N RD,US,40.264871,-87.700575,HELENA AGRIENTERPRISES-DANVILLE,HELENA AGRIENTERPRISES LLC,0017000000yIUxo,TRUCK,TRUCK,"","",61834,"DANVILLE, IL"
3400 JONES RD,US,40.1175083,-87.5488565,"DANVILLE, IL - MACROSOURCE",NUTRIEN AG SOLUTIONS INC,0017000000yIV0T,RAIL|TRUCK,RAIL|TRUCK,KBSR|UP,387650000,61834,"DANVILLE, IL"
103 E LINCOLN ST,US,39.752967,-86.522332,KEYSTONE COOPERATIVE-DANVILLE,KEYSTONE COOPERATIVE INC,0014u000029eX5u,RAIL|TRUCK,RAIL|TRUCK,CSXT,368950000,46122,"DANVILLE, IN"
410 VALKSDAHL AVE,US,37.636475,-84.788025,PRO AG-DANVILLE,PRO AG SALES SERVICE INC,,RAIL,RAIL,NS,289744000,40422,"DANVILLE, KY"
501 2ND ST N,US,44.050608,-94.839342,CRYSTAL VALLEY-DARFUR,CRYSTAL VALLEY COOPERATIVE,0017000000yIV0R,TRUCK,TRUCK,"","",56022,"DARFUR, MN"
1408 EBENEZER RD,US,34.271287,-79.856179,SOUTHERN STATES-DARLINGTON,SOUTHERN STATES COOPERATIVE INC,0017000000yIUqe,RAIL,RAIL,CSXT|SCRF,441760000,29532,"DARLINGTON, SC"
16453 WI81,US,42.6671,-90.1413,UNITED COOPERATIVE-DARLINGTON,UNITED COOPERATIVE BEAVER DAM WI,0017000000yIUp8,TRUCK,TRUCK,"","",53530,"DARLINGTON, WI"
540 ATLANTIC AVE E,US,45.0806,-94.3016,NUTRIEN AG-DASSEL,NUTRIEN AG SOLUTIONS INC,0017000000yIV0T,TRUCK,TRUCK,"","",55325,"DASSEL, MN"
"",US,41.5195,-90.57591,DAVENPORT IA- RR STATION,"","",RAIL,RAIL,BNSF,534580000,52802,"DAVENPORT, IA"
254 E 90TH ST,US,41.6111,-90.5754,RIVER VALLEY-DAVENPORT,RIVER VALLEY COOPERATIVE,0017000000yIW29,TRUCK,TRUCK,"","",52806,"DAVENPORT, IA"
207 S MAPLE AVE,US,40.311464,-97.813214,NUTRIEN AG-DAVENPORT,NUTRIEN AG SOLUTIONS INC,0017000000yIV0T,RAIL|TRUCK,RAIL|TRUCK,UP,557937000,68335,"DAVENPORT, NE"
3541 O RD,US,41.255997,-97.102774,FRONTIER COOPERATIVE-DAVID CITY,FRONTIER COOPERATIVE COMPANY,0017000000yIUd1,RAIL|TRUCK,RAIL|TRUCK,NCRC,554440000,68632,"DAVID CITY, NE"
1295 37 RD,US,41.276773,-97.140342,AURORA COOPERATIVE-DAVID CITY,AURORA COOPERATIVE,0017000000yIV2G,TRUCK,TRUCK,"","",68632,"DAVID CITY, NE"
12169 E RICHFIELD RD,US,43.067974,-83.471566,GARY RICHFIELD-DAVISON,GARY RICHFIELD FARMS DAVISON,,TRUCK,TRUCK,,,48423,"DAVISON, MI"
212 S FIRST ST,US,41.8422,-94.2217,LANDUS COOPERATIVE-DAWSON,LANDUS COOPERATIVE,0017000000yIUz4,TRUCK,TRUCK,"","",50066,"DAWSON, IA"
1909 301ST AVE,US,44.941491,-96.040787,MULTI COUNTY-DAWSON,MULTI COUNTY AG LLC,0017000000yIUuG,TRUCK,TRUCK,"","",56232,"DAWSON, MN"
,US,40.2906712,-95.8407529,STATELINE AG-DAWSON,STATELINE AG ENTERPRISES INC,0010g00001lEwTb,TRUCK,TRUCK,"","",68337,"DAWSON, NE"
,US,40.3207,-97.2918,FARMERS COOPERATIVE-DAYKIN,FARMERS COOPERATIVE ASSOCIATION,0017000000yIV6T,TRUCK,TRUCK,"","",68338,"DAYKIN, NE"
105 3RD AVE SW SE,US,42.2585,-94.0693,LANDUS COOPERATIVE-DAYTON,LANDUS COOPERATIVE,0017000000yIUz4,TRUCK,TRUCK,"","",50530,"DAYTON, IA"
"",US,45.23539,-123.06858,DAYTON OR- RR STATION,"","",RAIL,RAIL,UP,853942000,97114,"DAYTON, OR"
"",US,30.03904,-94.89963,DAYTON TX- RR STATION,"","",RAIL,RAIL,BNSF,684587000,77535,"DAYTON, TX"
"",US,32.11169,-98.53923,DE LEON TX- RR STATION,"","",RAIL,RAIL,UP,690117000,76444,"DE LEON, TX"
501 E LAKE ST,US,41.8146,-90.5374,RIVER VALLEY-DE WITT,RIVER VALLEY COOPERATIVE,0017000000yIW29,TRUCK,TRUCK,"","",52742,"DE WITT, IA"
40135 HWY 24,US,39.4075,-93.2031,AGRISERVICES OF-DE WITT,AGRISERVICES OF BRUNSWICK LLC,0017000000yIV3T,TRUCK,TRUCK,"","",64639,"DE WITT, MO"
9158 W CEDAR RD,US,40.426337,-96.845908,HOLSING FARMS-DE WITT,HOLSING FARMS,0014u00001vReGY,TRUCK,TRUCK,"","",68341,"DE WITT, NE"
512 MAPLE LEAF ST,US,39.524487,-94.7755,SUR GRO-DEARBORN,SUR GRO FINANCE INC,0017000000yIUqL,TRUCK,TRUCK,,,64439,"DEARBORN, MO"
512 MAPLELEAF DR,US,39.5252,-94.7668,ROBERTS AG-DEARBORN,ROBERTS AG SERVICE INC,0014u00001wutNv,TRUCK,TRUCK,"","",64439,"DEARBORN, MO"
913 SOMERVILLE RD NE,US,34.606889,-86.972511,AGRI AFC-DECATUR,AGRI AFC LLC,0017000000yIV3C,RAIL|BARGE,RAIL|BARGE,CSXT|NS,472210000,35601,"DECATUR, AL"
"",US,39.85742,-88.94597,DECATUR IL- RR STATION,"","",RAIL,RAIL,CN,392200000,62526,"DECATUR, IL"
4161 N 600 W,US,40.804128,-85.051955,CALO ENTERPRISE-DECATUR,CALO ENTERPRISE DECATUR,,TRUCK,TRUCK,,,46733,"DECATUR, IN"
"",US,42.11116,-85.96547,DECATUR MI- RR STATION,"","",RAIL,RAIL,NS,319480000,49045,"DECATUR, MI"
"",US,35.22136,-86.08956,DECHERD TN- RR STATION,"","",RAIL,RAIL,CSXT,432940000,37324,"DECHERD, TN"
5451 JEFFERSON CHEMICAL RD,US,30.313742,-95.388456,HUNTSMAN CORPORATION-YOUENS,HUNTSMAN CORPORATION,0017000000yIUkF,RAIL,RAIL,BNSF,682925000,77354,"DECKER PRAIRIE, TX"
3480 US HWY 52,US,43.438885,-91.859525,FARMERS WIN-DECORAH,FARMERS WIN COOPERATIVE,0017000000yIT1b,TRUCK,TRUCK,"","",52101,"DECORAH, IA"
510 N 4TH AVE,US,41.916433,-94.823088,LANDUS COOPERATIVE-DEDHAM,LANDUS COOPERATIVE,0017000000yIUz4,TRUCK,TRUCK,"","",51440,"DEDHAM, IA"
63149 COLUMBIA RIVER HWY,US,45.9127242,-122.8266855,DYNO ST. HELENS,DYNO NOBEL INC,0017000000yIW3v,RAIL|TRUCK|BARGE,RAIL|TRUCK|BARGE,BNSF|PNWR,853160000,97054,"DEER ISLAND, OR"
2621 TIDAL RD,US,29.7346,-95.0964,ITC (DEER PARK),INTERCONTINENTAL TERMINALS COMPANY LLC,0017000000yIW39,RAIL|TRUCK,RAIL|TRUCK,BNSF|PTRA|UP,684773000,77536,"DEER PARK, TX"
2294 RD 240,US,37.9865,-101.1341,CROSSBELL FARMS-DEERFIELD,CROSSBELL FARMS,,TRUCK,TRUCK,,,67838,"DEERFIELD, KS"
2245 RD 190,US,38.00209189,-101.1509001,MADDUX FARMS-DEERFIELD,MADDUX FARMS GARDEN CITY COOP,,TRUCK,TRUCK,,,67838,"DEERFIELD, KS"
7455 E 54 HWY,US,37.842361,-94.496446,FARMERS AG-DEERFIELD,FARMERS AG GRAIN SUPPLY,0017000000yIUm9,TRUCK,TRUCK,"","",64741,"DEERFIELD, MO"
117 RAILROAD AVE,US,48.3945385,-101.0451822,AGRITEC INC-DEERING,AGRITEC INC,0017000000yIUeV,TRUCK,TRUCK,,,58731,"DEERING, ND"
1131 2200TH ST,US,41.820962,-95.357307,FARM SERVICE-DEFIANCE,FARM SERVICE COOP,0017000000yIUzJ,TRUCK,TRUCK,"","",51527,"DEFIANCE, IA"
"",US,41.27759,-84.37874,DEFIANCE OH- RR STATION,"","",RAIL,RAIL,CSXT,343940000,43512,"DEFIANCE, OH"
N 125 COUNTY HWY C,US,43.2221,-89.2639,NUTRIEN AG-DEFOREST,NUTRIEN AG SOLUTIONS INC,0017000000yIV0T,TRUCK,TRUCK,"","",53532,"DEFOREST, WI"
1909 S SOMONAUK RD,US,41.9204,-88.6891,HINTZSCHE FERTILIZER-DEKALB,HINTZSCHE FERTILIZER INC,0017000000yIVuU,TRUCK,TRUCK,"","",60115,"DEKALB, IL"
"",US,38.14777,-88.60277,DELAFIELD IL- RR STATION,"","",RAIL,RAIL,EVWR,397436000,62859,"DELAFIELD, IL"
"",US,35.76832,-119.24773,DELANO CA- RR STATION,"","",RAIL,RAIL,UP,881511000,93215,"DELANO, CA"
"",US,40.27734,-83.08372,DELAWARE OH- RR STATION,"","",RAIL,RAIL,CSXT,348741000,43015,"DELAWARE, OH"
309 FRANKLIN ST,US,42.429382,-91.33125,SILVEREDGE COOPERATIVE-DELHI,SILVEREDGE COOPERATIVE,0017000000yIRJC,TRUCK,TRUCK,"","",52223,"DELHI, IA"
211 LADELLE AVE,US,43.8223,-96.7122,DELL RAPIDS-DELL RAPIDS,DELL RAPIDS COOP GRAIN CO,0017000000yIUXk,TRUCK,TRUCK,"","",57022,"DELL RAPIDS, SD"
850 S PRINCE WILLIAM RD,US,40.533752,-86.63495,NUTRIEN AG-DELPHI,NUTRIEN AG SOLUTIONS INC,0017000000yIV0T,TRUCK,TRUCK,,,46923,"DELPHI, IN"
3854 N ANDERSON DR,US,40.6025355,-86.6431446,ANDERSONS DELPHI,THE ANDERSONS INC,0017000000yIUq2,RAIL|TRUCK,RAIL|TRUCK,NS,366650000,46923,"DELPHI, IN"
"",US,40.84333,-84.34166,DELPHOS OH- RR STATION,"","",RAIL,RAIL,CFE,346724000,45833,"DELPHOS, OH"
"",US,38.73998,-108.08128,DELTA CO- RR STATION,"","",RAIL,RAIL,UP,756183000,81416,"DELTA, CO"
7891 COUNTY RD 10,US,41.586264,-84.058171,FALOR FARM-DELTA,FALOR FARM CENTER INC,0017000000yIUdN,TRUCK,TRUCK,,,43515,"DELTA, OH"
10 MILES N HWY 6,US,39.3523688,-112.5702334,MATERION NATURAL-DELTA,MATERION NATURAL RESOURCES INC,0017000000yIVun,RAIL,RAIL,UP,766120000,84624,"DELTA, UT"
498 W MAIN ST,US,39.352929,-112.585667,INTERMOUNTAIN FARMERS-DELTA,INTERMOUNTAIN FARMERS ASSOCIATION,0017000000yIUxF,RAIL|TRUCK,RAIL|TRUCK,UP,766114000,84624,"DELTA, UT"
670 N 100 W,US,39.363594,-112.575615,MIKE STANWORTH-DELTA,MIKE STANWORTH SON,,RAIL,RAIL,UP,766114000,84624,"DELTA, UT"
25 W 1000 N,US,39.367437,-112.578693,VALLEY AGRONOMICS-DELTA,VALLEY AGRONOMICS LLC,0017000000yIUou,RAIL,RAIL,UP,766114000,84624,"DELTA, UT"
2560 N 3000 W,US,39.389804,-112.632732,UNITED SOIL-DELTA,UNITED SOIL SCIENCE,,RAIL|TRUCK,RAIL|TRUCK,UP,766114000,84624,"DELTA, UT"
"",US,32.27185,-107.75758,DEMING NM- RR STATION,"","",RAIL,RAIL,BNSF,788150000,88030,"DEMING, NM"
401 BOYER VALLEY RD,US,42.0075594,-95.3692118,MACROSOURCE DENISON,MACROSOURCE LLC,0014u00001zo2Xu,RAIL|TRUCK,RAIL|TRUCK,CN,546450000,51442,"DENISON, IA"
1023 5TH AVE S,US,42.0109,-95.359,FARM SERVICE-DENISON,FARM SERVICE COOP,0017000000yIUzJ,RAIL|TRUCK,RAIL|TRUCK,UP,546450000,51442,"DENISON, IA"
110 E PINE ST,US,44.350742,-87.829081,UNITED COOPERATIVE-DENMARK,UNITED COOPERATIVE BEAVER DAM WI,0017000000yIUp8,RAIL|TRUCK,RAIL|TRUCK,CN|FOXY,324773000,54208,"DENMARK, WI"
404 LOCUST AVE,US,39.73214,-95.270142,AG PARTNERS-DENTON,AG PARTNERS COOP,0017000000yIV3H,TRUCK,TRUCK,,,66017,"DENTON, KS"
304 ELEVATOR RD,US,47.3196952,-109.9474185,LEWISTOWN PROPANE-DENTON,LEWISTOWN PROPANE FERTILIZER LLC,0014u00002313Yi,TRUCK,TRUCK,,,59430,"DENTON, MT"
5590 HIGH ST,US,39.7988752,-104.9647328,"COLORADO PETROLEUM DENVER, CO",COLORADO PETROLEUM PRODUCTS COMPANY,,RAIL|TRUCK,RAIL|TRUCK,BNSF|UP,744300000,80216,"DENVER, CO"
5990 WASHINGTON ST,US,39.8038991,-104.974725,"PILOT TRAVEL DENVER, CO",PILOT TRAVEL CENTERS LLC,0017000001GQTol,RAIL|TRUCK,RAIL|TRUCK,UP,744310000,80216,"DENVER, CO"
6617 170TH ST SW,US,48.165226,-101.553848,RAY KOPP-DES LACS,RAY KOPP,,RAIL|TRUCK,RAIL|TRUCK,BNSF,513654000,58733,"DES LACS, ND"
1623 E EUCLID AVE,US,41.6261672,-93.5944237,"ALLIED OIL DES MOINES, IA",ALLIED OIL AND TIRE,,RAIL|TRUCK,RAIL|TRUCK,IAIS,536870000,50313,"DES MOINES, IA"
1623 E EUCLID AVE,US,41.62627,-93.59465,ALLIED OIL-DES MOINES,ALLIED OIL AND TIRE,,TRUCK,TRUCK,,,50313,"DES MOINES, IA"
1979 N E 54TH AVE,US,41.6576916,-93.5872655,"BRENNTAG GREAT DES MOINES, IA",BRENNTAG GREAT LAKES LLC,0017000000yIPa3,RAIL|TRUCK,RAIL|TRUCK,UP,536870000,50313,"DES MOINES, IA"
5372 HWY 136,US,40.147497,-97.731836,NUTRIEN AG-DESHLER,NUTRIEN AG SOLUTIONS INC,0017000000yIV0T,TRUCK,TRUCK,"","",68340,"DESHLER, NE"
"",US,41.20625,-83.90239,DESHLER OH- RR STATION,"","",RAIL,RAIL,CSXT,343861000,43516,"DESHLER, OH"
36 N RD,US,44.8010578,-69.3147297,"NORTHEAST AGRICULTURAL DETROIT, ME",NORTHEAST AGRICULTURAL SALES INC,,RAIL|TRUCK,RAIL|TRUCK,CSXT,115871000,04929,"DETROIT, ME"
ADBF LEASE TRACK,US,42.331427,-83.0457538,"VESCO OIL DETROIT, MI",VESCO OIL CORP,,RAIL|TRUCK,RAIL|TRUCK,CSXT,318100000,48207,"DETROIT, MI"
1900 E WARREN AVE,US,42.351,-83.0267,VESCO OIL (DETROIT),VESCO OIL CORP,"",RAIL,RAIL,CN,318100000,48207,"DETROIT, MI"
5901 1ST ST,US,42.525307,-92.22289,AGVANTAGE FS-DEWAR,AGVANTAGE FS INC,0010g00001eOKQY,TRUCK,TRUCK,"","",50623,"DEWAR, IA"
,US,40.3074,-88.2932,PREMIER COOPERATIVE-DEWEY,PREMIER COOPERATIVE,0017000000yIUXb,TRUCK,TRUCK,"","",61840,"DEWEY, IL"
1009 COUNTY RD 3000 N,US,40.31131,-88.266234,GROWMARK INC-DEWEY,GROWMARK INC,0017000000yIUyR,TRUCK,TRUCK,"","",61840,"DEWEY, IL"
3056 COUNTY RD 950 E,US,40.320267,-88.27932,UNITED PRAIRIE-DEWEY,UNITED PRAIRIE LLC,0017000000yIUp4,TRUCK,TRUCK,"","",61840,"DEWEY, IL"
18478 STATE HWY 54,US,40.1866,-88.7916,NUTRIEN AG-DEWITT,NUTRIEN AG SOLUTIONS INC,0017000000yIV0T,TRUCK,TRUCK,"","",61735,"DEWITT, IL"
200 E 1ST ST,US,40.8034,-94.3406,SUR GRO-DIAGONAL,SUR GRO PLANT FOOD CO INC,0017000000yIRQr,TRUCK,TRUCK,"","",50845,"DIAGONAL, IA"
"",US,31.18775,-94.78435,DIBOLL TX- RR STATION,"","",RAIL,RAIL,UP,681487000,75941,"DIBOLL, TX"
202 1ST ST,US,43.131115,-95.022564,NEW COOPERATIVE-DICKENS,NEW COOPERATIVE INC,0017000000yIUtv,RAIL|TRUCK,RAIL|TRUCK,CPRS,541934000,51333,"DICKENS, IA"
11083 44TH ST SW,US,46.7748127,-102.7222436,"BEN KUHN DICKINSON, ND",BEN KUHN,,RAIL|TRUCK,RAIL|TRUCK,BNSF,519144000,58601,"DICKINSON, ND"
1041 STATE AVE,US,46.8912655,-102.8119915,"NDSU DICKINSON DICKINSON, ND",NDSU DICKINSON RESEARCH EXTENSION CENTER,,RAIL|TRUCK,RAIL|TRUCK,BNSF,519144000,58601,"DICKINSON, ND"
23039 E 200TH AVE,US,38.940834,-88.380295,SOUTH CENTRAL-DIETERICH,SOUTH CENTRAL FS INC,0017000000yIRKk,TRUCK,TRUCK,,,62424,"DIETERICH, IL"
23801 E STATE HWY 33,US,39.058716,-88.367981,EFFINGHAM EQUITY-DIETERICH,EFFINGHAM EQUITY,0017000000yIUzn,RAIL|TRUCK,RAIL|TRUCK,CN,395166000,62424,"DIETERICH, IL"
116 S LONGHORN RD,US,38.430154,-100.446734,HINEMAN FARMS-DIGHTON,HINEMAN FARMS,,TRUCK,TRUCK,,,67839,"DIGHTON, KS"
245 W GEORGE ST,US,38.485531,-100.468994,GARDEN CITY-DIGHTON,GARDEN CITY COOP INC,0017000000yW3gD,RAIL|TRUCK,RAIL|TRUCK,BNSF|KO|UP,595534000,67839,"DIGHTON, KS"
107 FRONT ST,US,42.462134,-92.627951,LANDUS COOPERATIVE-DIKE,LANDUS COOPERATIVE,0017000000yIUz4,TRUCK,TRUCK,"","",50624,"DIKE, IA"
"",US,43.10413,-123.42747,DILLARD OR- RR STATION,"","",RAIL,RAIL,UP,858184000,97432,"DILLARD, OR"
1205 FLYNN LN,US,45.130974,-112.660576,ELEVATION AGRONOMY-DILLON,ELEVATION AGRONOMY LLC,0010g00001iV7lS,TRUCK,TRUCK,,,59725,"DILLON, MT"
225 STOLTZE LN,US,45.146628,-112.72083,WILBURELLIS COMPANY-DILLON,WILBURELLIS COMPANY,0017000000yIUoL,RAIL|TRUCK,RAIL|TRUCK,UP,719562000,59725,"DILLON, MT"
80 STOLTZE LN,US,45.2085,-112.6554,ROCKY MOUNTAIN-DILLON,ROCKY MOUNTAIN SUPPLY INC,0017000001MOUzB,TRUCK,TRUCK,,,59725,"DILLON, MT"
211 N MONTANA ST,US,45.219341,-112.636134,MJ PFLIEGER-DILLON,MJ PFLIEGER INC,,RAIL,RAIL,UP,719550000,59725,"DILLON, MT"
1396 US 385,US,34.5629244,-102.3160768,WESTWAY FEED-DIMMITT,WESTWAY FEED PRODUCTS LLC,0017000000yIT4v,RAIL|TRUCK,RAIL|TRUCK,LBWR,674550000,79027,"DIMMITT, TX"
7235 TREMONT RD,US,38.497003,-121.778184,THE TREMONT-DIXON,THE TREMONT GROUP INC,0017000000yIVx5,RAIL,RAIL,UP,874713000,95620,"DIXON, CA"
1076 CORREGIDOR RD,US,41.7393,-89.3992,NUTRIEN AG-DIXON,NUTRIEN AG SOLUTIONS INC,0017000000yIV0T,TRUCK,TRUCK,"","",61021,"DIXON, IL"
11559 US HWY 50,US,37.7527,-100.01,KF-DODGE CITY PLANT,KOCH FERTILIZER LLC,0017000000yIUvv,RAIL|TRUCK,RAIL|TRUCK,BHWY|BNSF,597660000,67801,"DODGE CITY, KS"
10884 102 RD,US,37.78274,-100.1784,PRIDE AG-DODGE CITY,PRIDE AG RESOURCES,0017000000yIV02,TRUCK,TRUCK,,,67801,"DODGE CITY, KS"
,US,41.718,-96.8762,RAWHIDE FERTILIZER-DODGE,RAWHIDE FERTILIZER LLC,0014u00001vRqMf,TRUCK,TRUCK,"","",68633,"DODGE, NE"
"",US,31.31944,-83.91722,DOERUN GA- RR STATION,"","",RAIL,RAIL,GFRR,468635000,31744,"DOERUN, GA"
603 S 28TH ST,US,43.4653,-94.6155,ASMUS FARM-DOLLIVER,ASMUS FARM SUPPLY INC,0017000000yIUY2,TRUCK,TRUCK,"","",50531,"DOLLIVER, IA"
6079 MAIN ST,US,43.4655,-94.6122,CENTRAL FARM-DOLLIVER,CENTRAL FARM SERVICE,0017000001Uw4AZ,TRUCK,TRUCK,"","",50531,"DOLLIVER, IA"
10803 OAK ST NE,US,45.222999,-122.839229,VALLEY AGRONOMICS-DONALD,VALLEY AGRONOMICS LLC,0017000000yIUou,RAIL|TRUCK,RAIL|TRUCK,BNSF|PNWR,854111000,97020,"DONALD, OR"
39139 HWY 18 W,US,30.1011,-90.956,"DONALDSONVILLE, LA - CF",CF INDUSTRIES INC,0017000000yIV1T,RAIL|TRUCK|BARGE,RAIL|TRUCK|BARGE,UP,645191000,70346,"DONALDSONVILLE, LA"
5442 SPOONER RD,US,31.026697,-84.851625,NUTRIEN AG-DONALSONVILLE,NUTRIEN AG SOLUTIONS INC,0017000000yIV0T,RAIL,RAIL,CSXT,469930000,39845,"DONALSONVILLE, GA"
2026 W BINFIELD RD,US,40.7569,-98.3793,AURORA COOPERATIVE-DONIPHAN,AURORA COOPERATIVE,0017000000yIV2G,TRUCK,TRUCK,"","",68832,"DONIPHAN, NE"
